run_id,best_target,best_family,best_d_total,second_best_target,second_best_family,second_best_d_total,delta_margin
224.0,deuteron,nucleus,6.557646403058895,delta_1232,delta_like,7.522212194852138,0.9645657917932429
225.0,delta_1232,delta_like,3.5111705318822595,neutron,nucleon_like,5.8809266240055065,2.369756092123247
226.0,delta_1232,delta_like,7.6799999232000005,eta_prime,eta_prime_like,10.4199998958,2.7399999725999997
227.0,deuteron,nucleus,8.518430520705966,delta_1232,delta_like,9.217664013837666,0.6992334931317004
228.0,eta_prime,eta_prime_like,1.7533333158000002,phi,phi_like,4.086569712716038,2.333236396916038
229.0,eta_prime,eta_prime_like,3.5907316714097597,phi,phi_like,4.958005640358361,1.3672739689486013
230.0,deuteron,nucleus,8.273332506000083,delta_1232,delta_like,9.17876802106991,0.9054355150698274
231.0,delta_1232,delta_like,2.919316738232737,eta_prime,eta_prime_like,4.705714238657144,1.7863975004244073
232.0,deuteron,nucleus,1.8457141011428626,delta_1232,delta_like,6.611086885125374,4.765372783982512
233.0,deuteron,nucleus,0.8933332439999772,delta_1232,delta_like,6.622157738622121,5.7288244946221445
234.0,delta_1232,delta_like,4.136309876358867,eta_prime,eta_prime_like,5.035384565030771,0.8990746886719041
235.0,delta_1232,delta_like,3.3252173566911116,neutron,nucleon_like,5.82431845449718,2.4991010978060686
236.0,delta_1232,delta_like,3.708913002800403,eta_prime,eta_prime_like,5.4199999458000025,1.7110869429995996
237.0,deuteron,nucleus,0.46322576012901884,delta_1232,delta_like,6.76098169414494,6.297755934015921
238.0,deuteron,nucleus,2.916190184571454,delta_1232,delta_like,7.127391227303873,4.211201042732419
